specID,Taxon,Site,Zone,Period,group,GLl,Bd,Dl
9,sheep,DOR,Coastal,IA2,Dor,31.5,21.02,18.2
10,sheep,DOR,Coastal,IA2,Dor,29.3,19.5,16.8
11,sheep,DOR,Coastal,IA2,Dor,28.2,17.4,15.9
12,sheep,DOR,Coastal,IA2,Dor,29,19.4,16.5
13,sheep,DOR,Coastal,IA2,Dor,29.8,18.7,16.4
14,sheep,DOR,Coastal,IA2,Dor,30.6,20.3,16.6
15,sheep,DOR,Coastal,IA2,Dor,30.4,19.5,16.3
16,sheep,DOR,Coastal,IA2,Dor,30.7,19.6,16.3
17,sheep,DOR,Coastal,IA2,Dor,30.7,21.3,17.7
19,sheep,DOR,Coastal,IA2,Dor,31.3,20.5,18
20,sheep,DOR,Coastal,IA2,Dor,32.9,21.5,17.7
22,sheep,DOR,Coastal,IA2,Dor,29.8,18.6,17.2
23,sheep,DOR,Coastal,IA2,Dor,33.7,21.3,18.6
24,sheep,DOR,Coastal,IA2,Dor,29.9,19.2,16.2
25,sheep,KSN,Coastal,PER,Keisan,32,19.9,17.7
26,sheep,KSN,Coastal,PER,Keisan,30.7,19.7,18
27,sheep,KSN,Coastal,IA2,Keisan,28.6,18.3,16.5
28,sheep,KSN,Coastal,IA2,Keisan,31.3,20.4,16.9
29,sheep,KSN,Coastal,PER,Keisan,29.5,18.3,15.8
31,sheep,KSN,Coastal,PER,Keisan,33,22.1,18.8
32,sheep,KSN,Coastal,PER,Keisan,32.2,21,18.3
33,sheep,KSN,Coastal,IA2,Keisan,32,20.4,17.1
34,sheep,KSN,Coastal,PER,Keisan,30.6,20.1,17.3
35,sheep,KSN,Coastal,PER,Keisan,33.7,20.9,18.7
36,sheep,KSN,Coastal,PER,Keisan,28.5,17.3,16
37,sheep,KSN,Coastal,PER,Keisan,32.8,21.7,18.7
38,sheep,KSN,Coastal,IA2,Keisan,32.7,20.8,18.9
39,sheep,KSN,Coastal,IA2,Keisan,30.1,19.3,17.4
40,sheep,KSN,Coastal,IA2,Keisan,29.8,19.2,17.4
41,sheep,KSN,Coastal,IA2,Keisan,30,19.1,16.6
42,sheep,KSN,Coastal,IA2,Keisan,32,20.7,17.85
43,sheep,KSN,Coastal,PER,Keisan,33.9,21.9,20.7
60,sheep,ABM,Inland,IA2,ABM,30.2,19.1,16.1
61,sheep,ABM,Inland,IA2,ABM,29.1,17.9,13.9
62,sheep,ABM,Inland,IA2,ABM,30,18.7,15.5
63,sheep,ABM,Inland,IA2,ABM,31.6,19.9,16.7
64,sheep,ABM,Inland,IA2,ABM,29.1,18.8,15.2
65,sheep,ABM,Inland,IA2,ABM,31.2,19.8,15.8
66,sheep,ABM,Inland,IA2,ABM,31.7,19.9,17
67,sheep,ABM,Inland,IA2,ABM,28,17.7,15.5
68,sheep,ABM,Inland,IA2,ABM,28.5,18.8,15.8
69,sheep,ABM,Inland,IA2,ABM,30.9,18.2,15.2
70,sheep,ABM,Inland,IA2,ABM,28.9,18.8,15.3
71,sheep,ABM,Inland,IA2,ABM,32.4,20.1,16.9
72,sheep,ABM,Inland,IA2,ABM,30.7,19.7,15.5
73,sheep,ABM,Inland,IA2,ABM,29.8,18.5,15
74,sheep,ABM,Inland,IA2,ABM,28.9,18.6,15.5
75,sheep,ABM,Inland,IA2,ABM,29.2,19,15.2
76,sheep,ABM,Inland,IA2,ABM,31.6,21.6,17.2
77,sheep,ABM,Inland,IA2,ABM,30,18.9,16.3
78,sheep,ABM,Inland,IA2,ABM,29.4,19.2,15.5
79,sheep,ABM,Inland,IA2,ABM,29.4,18.3,15.9
80,sheep,ABM,Inland,IA2,ABM,32.2,19.2,17
81,sheep,ABM,Inland,IA2,ABM,30.2,18.7,15.9
82,sheep,ABM,Inland,IA2,ABM,29,19,16.2
83,sheep,ABM,Inland,IA2,ABM,28.9,18.7,15.6
84,sheep,ABM,Inland,IA2,ABM,29.4,18.8,15.7
85,sheep,ABM,Inland,IA2,ABM,30,19,15.4
86,sheep,ABM,Inland,IA2,ABM,27.4,17.3,14.7
87,sheep,ABM,Inland,IA2,ABM,29.8,19,15.9
88,sheep,ABM,Inland,IA2,ABM,31,19.8,15.8
